date,open,close,high,low,volume,code
2014-04-15,5.182,5.147,5.219,5.115,35866.0,300197
2014-04-16,5.093,5.096,5.177,5.066,18883.0,300197
2014-04-17,5.098,5.071,5.152,5.071,18869.0,300197
2014-04-18,5.125,5.172,5.194,5.123,29383.0,300197
2014-04-21,5.143,5.108,5.165,5.083,21304.0,300197
2014-04-22,5.083,4.982,5.12,4.898,27202.0,300197
2014-04-23,4.972,4.917,4.977,4.903,13766.0,300197
2014-04-24,4.908,4.927,4.964,4.905,14650.0,300197
2014-04-25,4.942,4.65,4.969,4.65,31933.0,300197
2014-04-28,4.621,4.398,4.621,4.381,35135.0,300197
2014-04-29,4.425,4.452,4.477,4.398,14567.0,300197
2014-04-30,4.45,4.477,4.554,4.438,13845.0,300197
2014-05-05,4.48,4.522,4.527,4.467,11388.0,300197
2014-05-06,4.499,4.702,4.732,4.499,27396.0,300197
2014-05-07,4.66,4.588,4.682,4.579,14150.0,300197
2014-05-08,4.576,4.606,4.67,4.576,11370.0,300197
2014-05-09,4.606,4.507,4.64,4.497,12704.0,300197
2014-05-12,4.532,4.65,4.665,4.532,20010.0,300197
2014-05-13,4.663,4.586,4.69,4.576,12732.0,300197
2014-05-15,4.826,4.729,4.942,4.695,48381.0,300197
2014-05-16,4.638,4.663,4.712,4.579,20218.0,300197
2014-05-19,4.663,4.613,4.717,4.596,12442.0,300197
2014-05-20,4.641,4.61,4.737,4.61,24664.0,300197
2014-05-21,4.602,4.697,4.741,4.506,27680.0,300197
2014-05-22,4.717,4.669,4.809,4.657,27465.0,300197
2014-05-23,4.721,4.709,4.721,4.618,22325.0,300197
2014-05-26,4.697,4.769,4.801,4.697,36599.0,300197
2014-05-27,4.848,4.785,4.86,4.741,31374.0,300197
2014-05-28,4.801,4.828,4.844,4.753,37334.0,300197
2014-05-29,4.821,4.749,4.84,4.741,26288.0,300197
2014-05-30,4.781,4.817,4.848,4.753,30756.0,300197
2014-06-03,4.813,4.761,4.852,4.749,25125.0,300197
2014-06-04,4.757,4.741,4.773,4.673,26551.0,300197
2014-06-05,4.817,5.067,5.115,4.797,134904.0,300197
2014-06-06,5.016,4.956,5.039,4.916,70802.0,300197
2014-06-09,4.928,4.817,4.972,4.801,41120.0,300197
2014-06-10,4.888,4.904,4.952,4.86,34474.0,300197
2014-06-11,4.876,4.928,4.996,4.836,66856.0,300197
2014-06-12,4.924,4.761,4.932,4.741,89061.0,300197
2014-06-13,4.757,4.777,4.797,4.705,53869.0,300197
2014-06-16,4.773,4.793,4.832,4.773,33821.0,300197
2014-06-17,4.789,4.733,4.805,4.729,29075.0,300197
2014-06-18,4.785,4.749,4.813,4.737,31625.0,300197
2014-06-19,4.721,4.534,4.757,4.498,61511.0,300197
2014-06-20,4.53,4.558,4.562,4.498,26689.0,300197
2014-06-23,4.578,4.57,4.621,4.566,30774.0,300197
2014-06-24,4.574,4.57,4.602,4.554,19134.0,300197
2014-06-25,4.57,4.55,4.57,4.49,27686.0,300197
2014-06-26,4.546,4.618,4.661,4.53,31385.0,300197
2014-06-27,4.629,4.629,4.649,4.598,25887.0,300197
