date,open,close,high,low,volume,code
2015-05-05,23.048,23.048,23.048,23.048,685.0,300367
2015-05-06,25.354,25.354,25.354,25.354,589.0,300367
2015-05-07,27.888,27.888,27.888,27.888,549.0,300367
2015-05-08,30.677,30.677,30.677,29.482,101887.0,300367
2015-05-11,33.745,33.745,33.745,33.115,59683.0,300367
2015-05-12,37.091,37.119,37.119,35.777,57053.0,300367
2015-05-13,35.458,38.227,40.832,33.47,133848.0,300367
2015-05-14,38.247,35.777,39.043,35.059,68665.0,300367
2015-05-15,34.263,34.82,35.458,32.669,63478.0,300367
2015-05-18,36.255,38.302,38.302,35.856,42656.0,300367
2015-05-19,42.131,37.848,42.131,37.402,100526.0,300367
2015-05-20,37.175,39.043,41.035,37.175,61969.0,300367
2015-05-21,38.968,38.119,39.043,36.653,64614.0,300367
2015-05-22,38.434,36.498,39.039,35.059,74850.0,300367
2015-05-25,35.099,35.856,37.091,34.37,67048.0,300367
2015-05-26,35.386,36.533,36.964,35.31,46850.0,300367
2015-05-27,37.055,35.458,37.45,35.31,45669.0,300367
2015-05-28,35.976,35.808,37.047,34.689,52163.0,300367
2015-05-29,36.358,37.808,38.964,35.059,87285.0,300367
2015-06-01,37.968,41.585,41.589,37.948,84025.0,300367
2015-06-02,41.235,40.637,41.235,39.047,62559.0,300367
2015-06-03,39.84,39.43,40.589,38.346,44887.0,300367
2015-06-04,39.402,38.286,39.96,35.486,54540.0,300367
2015-06-05,38.306,39.043,39.362,37.091,40718.0,300367
2015-06-08,37.888,35.139,38.645,35.139,46284.0,300367
2015-06-09,34.302,34.856,36.016,33.705,45596.0,300367
2015-06-10,35.844,35.458,36.286,34.263,32050.0,300367
2015-06-11,35.816,36.247,36.653,35.063,43939.0,300367
2015-06-12,37.047,37.039,37.051,35.418,35195.0,300367
2015-06-15,37.047,36.255,37.354,35.119,36746.0,300367
2015-06-16,35.625,32.629,35.868,32.629,52314.0,300367
2015-06-17,32.314,32.864,33.103,29.96,41036.0,300367
2015-06-18,32.864,30.243,32.864,29.884,23917.0,300367
2015-06-19,29.645,27.888,30.948,27.888,34325.0,300367
2015-06-23,27.095,28.964,29.123,25.119,32399.0,300367
2015-06-24,29.478,28.641,30.876,27.705,41110.0,300367
2015-06-25,28.948,25.82,28.948,25.777,37416.0,300367
2015-06-26,25.099,23.239,25.099,23.239,30553.0,300367
2015-06-29,23.271,20.916,23.609,20.916,48520.0,300367
2015-06-30,19.88,23.008,23.008,18.825,89297.0,300367
2015-07-01,23.506,23.904,25.311,23.111,118128.0,300367
2015-07-02,23.191,21.589,25.454,21.514,86210.0,300367
2015-07-03,19.721,21.717,23.745,19.434,76681.0,300367
2015-07-06,23.888,22.33,23.888,19.546,124185.0,300367
2015-07-07,21.115,20.099,21.115,20.099,42239.0,300367
2015-07-20,22.111,22.111,22.111,22.111,352.0,300367
2015-07-21,24.322,24.322,24.322,24.322,1783.0,300367
2015-07-22,26.753,26.757,26.757,26.131,43940.0,300367
2015-07-23,28.685,27.649,28.685,26.561,87815.0,300367
2015-07-24,27.091,27.948,28.884,27.091,82521.0,300367
2015-07-27,27.044,25.155,27.888,25.155,61602.0,300367
